Date,Open,High,Low,Close,Adj Close,Volume,Difference,Year,Month,Day,Difference_Afirm
2018-06-28,21.5,22.510000228881836,20.540000915527344,21.5,21.5,3653100,-0.10000038146972656,2018,06,28,1
2018-06-29,21.809999465942383,21.889999389648438,20.979999542236328,21.329999923706055,21.329999923706055,2547300,0.1700000762939453,2018,06,29,0
2018-07-02,21.18000030517578,21.18000030517578,20.309999465942383,20.709999084472656,20.709999084472656,784800,0.6200008392333984,2018,07,02,0
2018-07-03,20.600000381469727,21.06999969482422,20.190000534057617,20.729999542236328,20.729999542236328,1395200,-0.020000457763671875,2018,07,03,1
2018-07-04,20.959999084472656,21.0,20.520000457763672,21.0,21.0,248400,-0.2700004577636719,2018,07,04,1
2018-07-05,21.100000381469727,21.190000534057617,20.43000030517578,20.43000030517578,20.43000030517578,1286800,0.5699996948242188,2018,07,05,0
2018-07-06,20.399999618530273,21.020000457763672,20.399999618530273,20.799999237060547,20.799999237060547,915100,-0.3699989318847656,2018,07,06,1
2018-07-10,21.0,21.34000015258789,20.209999084472656,20.690000534057617,20.690000534057617,3427800,0.10999870300292969,2018,07,10,0
2018-07-11,20.6299991607666,20.899999618530273,20.420000076293945,20.899999618530273,20.899999618530273,744000,-0.20999908447265625,2018,07,11,1
2018-07-12,20.989999771118164,21.889999389648438,20.850000381469727,21.729999542236328,21.729999542236328,849300,-0.8299999237060547,2018,07,12,1
2018-07-13,21.709999084472656,22.209999084472656,21.610000610351562,21.850000381469727,21.850000381469727,704900,-0.12000083923339844,2018,07,13,1
2018-07-16,22.290000915527344,23.049999237060547,22.290000915527344,22.790000915527344,22.790000915527344,1673400,-0.9400005340576172,2018,07,16,1
2018-07-17,23.049999237060547,23.81999969482422,22.899999618530273,23.68000030517578,23.68000030517578,2191700,-0.8899993896484375,2018,07,17,1
2018-07-18,23.799999237060547,24.420000076293945,23.549999237060547,23.90999984741211,23.90999984741211,1881400,-0.22999954223632812,2018,07,18,1
2018-07-19,23.950000762939453,24.0,22.799999237060547,23.760000228881836,23.760000228881836,1022200,0.14999961853027344,2018,07,19,0
2018-07-20,24.5,25.3700008392334,23.979999542236328,24.18000030517578,24.18000030517578,2750200,-0.4200000762939453,2018,07,20,1
2018-07-23,24.229999542236328,24.639999389648438,23.709999084472656,24.639999389648438,24.639999389648438,847100,-0.45999908447265625,2018,07,23,1
2018-07-24,24.989999771118164,25.31999969482422,24.75,24.75,24.75,1113400,-0.1100006103515625,2018,07,24,1
2018-07-25,25.079999923706055,25.860000610351562,25.010000228881836,25.760000228881836,25.760000228881836,1993700,-1.010000228881836,2018,07,25,1
2018-07-26,26.0,26.0,24.969999313354492,25.469999313354492,25.469999313354492,1077900,0.29000091552734375,2018,07,26,0
